Taxa,Family
Acer,Sapindaceae
Aesculus,Sapindaceae
Agrostis ,Poaceae
Alnus ,Betulaceae
Alopecurus,Poaceae
Anthoxanthum,Poaceae
Anthriscus,Apiaceae
Apiaceae,Apiaceae
Araucaria,Araucariaceae
Arrhenatherum,Poaceae
Asteraceae,Asteraceae
Avena,Poaceae
Betula,Betulaceae
Brassica,Brassicaceae
Brassicaceae,Brassicaceae
Calluna,Ericaceae
Cannabaceae,Cannabaceae
Castanea,Fagaceae
Chamerion,Onagraceae
Chenopodiaceae,Chenopodiaceae
Cynosurus,Poaceae
Dactylis,Poaceae
Deschampsia,Poaceae
Echium ,Boraginaceae
Erica ,Ericaceae
Eucalyptus,Myrtaceae
Fabaceae,Fabaceae
Fagus,Fagaceae
Festuca,Poaceae
Festuca/Lolium,Poaceae
Filipendula,Rosaceae
Hedera,Araliaceae
Holcus,Poaceae
Hordeum,Poaceae
Hydrangea ,Hydrangeaceae
Impatiens,Balsaminaceae
Juglans,Juglandaceae
Juncus,Juncaceae
Juniperus,Cupressaceae
Lolium,Poaceae
Lotus ,Fabaceae
Mercurialis ,Euphorbiaceae 
Myrtaceae,Myrtaceae
Oleaceae,Oleaceae
Onagraceae,Onagraceae
Pinus,Pinaceae
Plantago,Plantaginaceae
Poa,Poaceae
Poaceae,Poaceae
Prunus ,Rosaceae
Quercus,Fagaceae
Ranunculus,Ranunculaceae
Rubus,Rosaceae
Rumex,Polygonaceae
Salix,Saliaceae
Sambucus,Adoxaceae
Scrophularia,Scrophulariaceae 
Secale,Poaceae
Solanaceae,Solanaceae
Solanum,Solanaceae
Sonchus ,Asteraceae
Tilia,Malvaceae
Trifolium,Fabaceae
Unknown,Unknown
Urtica,Urticaceae
Urticaceae,Urticaceae
Vicia,Fabaceae
Festuca.Lolium,Poaceae
